sessionid,scripcode,buyorsell,typecode,rate,qty,minfillqty,avlqty,actionid,tradetimestamp,retetion,audcode,ordid,errorcode,ordertype
3,500002,B,L,216835,2,0,24,0,02mar2022 09:17:28,3,T,1646191800008652001,0,N
3,500002,B,L,216840,2,0,22,0,02mar2022 09:17:28,3,T,1646191800008652001,0,N
3,500002,B,L,216845,2,0,20,0,02mar2022 09:17:28,3,T,1646191800008652001,0,N
3,500002,B,L,216850,9,0,11,0,02mar2022 09:17:28,3,T,1646191800008652001,0,N
3,500002,B,L,216855,2,0,26,0,02mar2022 09:17:28,3,T,1646191800008652002,0,N
3,500002,S,L,216855,2,0,0,0,02mar2022 09:17:28,0,T,1646191800008509875,0,N
3,500002,S,L,216995,15,0,0,0,02mar2022 09:17:50,4,T,1646191800008652043,0,N
3,500002,S,L,216995,16,2,0,0,02mar2022 09:17:50,4,T,1646191800008509533,0,N
3,500002,B,G,216995,15,0,30,0,02mar2022 09:17:50,0,T,1646191800008652158,0,N
3,500002,B,G,216995,16,0,14,0,02mar2022 09:17:50,0,T,1646191800008652158,0,N
3,500002,B,G,217000,14,0,0,0,02mar2022 09:17:50,0,T,1646191800008652158,0,N
3,500002,S,L,217000,14,0,11,0,02mar2022 09:17:50,0,T,1646191800008003004,0,N
3,500002,S,L,217000,11,0,0,0,02mar2022 09:18:03,0,T,1646191800008003004,0,N
3,500002,B,L,217000,11,0,2,0,02mar2022 09:18:03,3,T,1646191800008652209,0,N
3,500002,S,L,216540,1,0,4,0,02mar2022 09:18:05,4,T,1646191800008652227,0,N
3,500002,S,L,216540,4,0,0,0,02mar2022 09:18:05,4,T,1646191800008652227,0,N
3,500002,B,L,216540,1,1,0,0,02mar2022 09:18:05,0,T,1646191800008652141,0,N
3,500002,B,L,216540,4,0,11,0,02mar2022 09:18:05,4,T,1646191800008652225,0,N
3,500002,S,L,216885,1,1,0,0,02mar2022 09:19:03,0,T,1646191800008652598,0,N
3,500002,B,L,216885,1,0,0,0,02mar2022 09:19:03,3,T,1646191800008652779,0,N
3,500002,B,L,216935,1,0,0,0,02mar2022 09:19:03,3,T,1646191800008652780,0,N
3,500002,S,L,216935,1,0,14,0,02mar2022 09:19:03,4,T,1646191800008652765,0,N
3,500002,B,L,216650,1,1,0,0,02mar2022 09:20:21,0,T,1646191800008652609,0,N
3,500002,S,G,216650,1,0,0,0,02mar2022 09:20:21,0,T,1646191800008860181,0,N
3,500002,S,L,216650,3,0,12,0,02mar2022 09:20:51,0,T,1646191800008860343,0,N
3,500002,B,L,216650,3,0,0,0,02mar2022 09:20:51,3,T,1646191800008860353,0,N
3,500002,S,L,216650,3,0,9,0,02mar2022 09:20:51,0,T,1646191800008860343,0,N
3,500002,B,L,216650,3,0,0,0,02mar2022 09:20:51,3,T,1646191800008860354,0,N
3,500002,B,L,216650,3,0,0,0,02mar2022 09:20:51,3,T,1646191800008860361,0,N
3,500002,S,L,216650,3,0,6,0,02mar2022 09:20:51,0,T,1646191800008860343,0,N
3,500002,S,L,216650,6,0,0,0,02mar2022 09:20:51,0,T,1646191800008860343,0,N
3,500002,B,L,216650,6,15,9,0,02mar2022 09:20:51,3,T,1646191800008860362,0,N
3,500002,S,L,216915,2,2,0,0,02mar2022 09:21:11,3,T,1646191800008860512,0,N
3,500002,B,L,216915,2,2,0,0,02mar2022 09:21:11,4,T,1646191800008860511,0,N
3,500002,S,L,217070,1,1,0,0,02mar2022 09:21:35,0,T,1646191800008860675,0,N
3,500002,S,L,217060,5,0,0,0,02mar2022 09:21:35,4,T,1646191800008003054,0,N
3,500002,B,L,217060,5,0,1,0,02mar2022 09:21:35,3,T,1646191800008860694,0,N
3,500002,B,L,217070,1,0,0,0,02mar2022 09:21:35,3,T,1646191800008860694,0,N
3,500002,B,L,217115,2,0,25,0,02mar2022 09:21:35,3,T,1646191800008860696,0,N
3,500002,B,L,217155,1,0,24,0,02mar2022 09:21:35,3,T,1646191800008860696,0,N
3,500002,S,L,217155,1,0,0,0,02mar2022 09:21:35,0,T,1646191800008860328,0,N
3,500002,S,L,217115,2,0,0,0,02mar2022 09:21:35,0,T,1646191800008860456,0,N
3,500002,S,L,217195,2,0,0,0,02mar2022 09:21:35,0,T,1646191800008860327,0,N
3,500002,S,L,217235,1,0,0,0,02mar2022 09:21:35,0,T,1646191800008860204,0,N
3,500002,B,L,217235,1,0,10,0,02mar2022 09:21:35,3,T,1646191800008860699,0,N
3,500002,B,L,217195,2,0,11,0,02mar2022 09:21:35,3,T,1646191800008860699,0,N
3,500002,B,L,217275,2,0,11,0,02mar2022 09:21:35,3,T,1646193031025091302,0,N
3,500002,S,L,217275,2,0,0,0,02mar2022 09:21:35,0,T,1646191800008860342,0,N
3,500002,B,L,217060,1,1,0,0,02mar2022 09:22:34,0,T,1646191800008860687,0,N
3,500002,S,L,217060,1,0,0,0,02mar2022 09:22:34,0,T,1646193031025092086,0,N
3,500002,B,G,217605,1,0,0,0,02mar2022 09:23:06,0,T,1646193031025232555,0,N
3,500002,B,G,217595,1,0,1,0,02mar2022 09:23:06,0,T,1646193031025232555,0,N
3,500002,S,L,217605,1,1,0,0,02mar2022 09:23:06,0,T,1646193031025232534,0,N
3,500002,S,L,217595,1,0,0,0,02mar2022 09:23:06,0,T,1646193031025091940,0,N
3,500002,S,L,217875,6,0,53,0,02mar2022 09:24:01,0,T,1646193031025232670,0,N
3,500002,B,L,217875,6,6,0,0,02mar2022 09:24:01,3,T,1646193031025232765,0,N
3,500002,B,L,217875,6,6,0,0,02mar2022 09:24:01,3,T,1646193031025232766,0,N
3,500002,S,L,217875,6,0,47,0,02mar2022 09:24:01,0,T,1646193031025232670,0,N
3,500002,S,L,217930,10,0,2,0,02mar2022 09:24:01,0,T,1646193031025232760,0,N
3,500002,B,L,217925,15,25,10,0,02mar2022 09:24:01,3,T,1646193031025232769,0,N
3,500002,B,L,217930,10,25,0,0,02mar2022 09:24:01,3,T,1646193031025232769,0,N
3,500002,S,L,217925,15,0,0,0,02mar2022 09:24:01,4,T,1646193031025232746,0,N
3,500002,B,L,217975,6,6,0,0,02mar2022 09:24:01,3,T,1646193031025232770,0,N
3,500002,S,L,217975,6,0,5,0,02mar2022 09:24:01,0,T,1646193031025232759,0,N
3,500002,S,L,217975,5,0,0,0,02mar2022 09:24:01,0,T,1646193031025232759,0,N
3,500002,B,L,217975,5,6,1,0,02mar2022 09:24:01,3,T,1646193031025232771,0,N
3,500002,S,L,217975,9,0,0,0,02mar2022 09:24:34,0,T,1646193031025232841,0,N
3,500002,B,L,217975,9,0,18,0,02mar2022 09:24:34,3,T,1646193031025232889,0,N
3,500002,S,L,217715,1,10,9,0,02mar2022 09:24:46,0,T,1646193031025233006,0,N
3,500002,S,L,217710,9,10,0,0,02mar2022 09:24:46,0,T,1646193031025233006,0,N
3,500002,B,L,217715,1,1,0,0,02mar2022 09:24:46,0,T,1646193031025232751,0,N
3,500002,B,L,217710,9,2,7,0,02mar2022 09:24:46,4,T,1646193031025091727,0,N
3,500002,B,L,218005,2,0,3,0,02mar2022 09:25:52,0,T,1646193031025232972,0,N
3,500002,B,L,218005,2,2,0,0,02mar2022 09:25:52,0,T,1646193031025091944,0,N
3,500002,S,L,218005,2,4,0,0,02mar2022 09:25:52,3,T,1646193031025233296,0,N
3,500002,S,L,218005,2,4,2,0,02mar2022 09:25:52,3,T,1646193031025233296,0,N
3,500002,B,L,218005,3,0,0,0,02mar2022 09:26:03,0,T,1646193031025232972,0,N
3,500002,S,L,218005,3,0,0,0,02mar2022 09:26:03,3,T,1646193031025233314,0,N
3,500002,S,L,218305,1,1,0,0,02mar2022 09:26:37,0,T,1646193031025233235,0,N
3,500002,B,L,218305,1,0,56,0,02mar2022 09:26:37,3,T,1646193031025233448,0,N
3,500002,B,L,218520,13,0,4,0,02mar2022 09:26:37,3,T,1646193031025233452,0,N
3,500002,B,L,218520,4,0,0,0,02mar2022 09:26:37,3,T,1646193031025233452,0,N
3,500002,B,L,218465,16,0,17,0,02mar2022 09:26:37,3,T,1646193031025233452,0,N
3,500002,B,L,218425,7,0,33,0,02mar2022 09:26:37,3,T,1646193031025233452,0,N
3,500002,S,L,218425,7,1,0,0,02mar2022 09:26:37,4,T,1646191800008003288,0,N
3,500002,S,L,218465,16,2,0,0,02mar2022 09:26:37,4,T,1646193031025233416,0,N
3,500002,S,L,218520,13,13,0,0,02mar2022 09:26:37,0,T,1646191800008859901,0,N
3,500002,S,L,218520,4,0,26,0,02mar2022 09:26:37,4,T,1646193031025233026,0,N
3,500002,S,L,218730,2,5,3,0,02mar2022 09:27:08,0,T,1646193031025233179,0,N
3,500002,B,G,218730,2,2,0,0,02mar2022 09:27:08,4,T,1646193031025608505,0,N
3,500002,B,L,218730,1,0,0,0,02mar2022 09:27:25,3,T,1646193031025608560,0,N
3,500002,S,L,218730,1,5,2,0,02mar2022 09:27:25,0,T,1646193031025233179,0,N
3,500002,S,L,218730,1,5,1,0,02mar2022 09:27:30,0,T,1646193031025233179,0,N
3,500002,B,L,218730,1,0,0,0,02mar2022 09:27:30,3,T,1646193031025608575,0,N
3,500002,S,L,218420,1,11,10,0,02mar2022 09:27:38,3,T,1646193031025608594,0,N
3,500002,B,L,218420,1,1,0,0,02mar2022 09:27:38,0,T,1646193031025233387,0,N
3,500002,B,L,218330,1,1,0,0,02mar2022 09:27:43,0,T,1646193031025608623,0,N
3,500002,B,L,218305,5,1,0,0,02mar2022 09:27:43,4,T,1646191800008003277,0,N
3,500002,B,L,218305,15,0,0,0,02mar2022 09:27:43,4,T,1646193031025608637,0,N
3,500002,B,L,218245,1,0,1,0,02mar2022 09:27:43,0,T,1646193031025608580,0,N
3,500002,B,L,218325,1,1,0,0,02mar2022 09:27:43,0,T,1646193031025092266,0,N
3,500002,B,L,218300,12,0,0,0,02mar2022 09:27:43,0,T,1646193031025608495,0,N
3,500002,B,L,218255,8,0,0,0,02mar2022 09:27:43,0,T,1646193031025608476,0,N
3,500002,B,L,218285,2,2,0,0,02mar2022 09:27:43,0,T,1646193031025092208,0,N
3,500002,S,G,218325,1,0,43,0,02mar2022 09:27:43,0,T,1646193031025608641,0,N
3,500002,S,G,218305,15,0,28,0,02mar2022 09:27:43,0,T,1646193031025608641,0,N
3,500002,S,G,218305,5,0,23,0,02mar2022 09:27:43,0,T,1646193031025608641,0,N
3,500002,S,G,218330,1,0,44,0,02mar2022 09:27:43,0,T,1646193031025608641,0,N
3,500002,S,G,218300,12,0,11,0,02mar2022 09:27:43,0,T,1646193031025608641,0,N
3,500002,S,G,218285,2,0,9,0,02mar2022 09:27:43,0,T,1646193031025608641,0,N
